,Districts,Address,Postcode,Lat,Lon,Names,Cities
0,North York,"E.T. Seton Washrooms, Don Trail, Toronto, ON M3C 1B2, Canada",M3C 1B2,43.70944115,-79.33740015763222,E.T. Seton Washrooms,Toronto
1,N/A,"Wanless park Tennis Association - Summer Only, Wanless Crescent, Old Toronto, ON M4N 1T2, Canada",M4N 1T2,43.728868,-79.391983,Wanless park Tennis Association - Summer Only,Old Toronto
2,Lawrence Park,"Locke library public toilet, 3083 Yonge Street, Old Toronto, ON M4N 2K7, Canada",M4N 2K7,43.724901,-79.401732,Locke library public toilet,Old Toronto
3,Financial District,"Females, 77 King Street West, Old Toronto, ON M5X 1B1, Canada",M5X 1B1,43.6478427,-79.3818974,Females,Old Toronto
4,Financial District,"Males, 77 King Street West, Old Toronto, ON M5X 1B1, Canada",M5X 1B1,43.6479012,-79.3820801,Males,Old Toronto
5,N/A,"1230 Queen Street West, Old Toronto, ON M6J 1H8, Canada",M6J 1H8,43.6427637,-79.4278546,N/A,Old Toronto
6,North York,"Torresdale Avenue, Toronto, ON M2R 3K2, Canada",M2R 3K2,43.7819062,-79.4507058,N/A,Toronto
7,Christie Pits,"Barton Avenue, Old Toronto, ON M6G 3B1, Canada",M6G 3B1,43.6648115,-79.42071291127228,N/A,Old Toronto
8,Greektown,"McConnell Avenue, Old Toronto, ON M4K 3K9, Canada",M4K 3K9,43.67567225,-79.34743104387223,N/A,Old Toronto
9,N/A,"Scarborough Bluffs Trail, Toronto, ON M1M 1C7, Canada",M1M 1C7,43.713021,-79.22740395019157,N/A,Toronto
10,Bathurst Quay,"Little Norway Crescent, Old Toronto, ON M5V 3N2, Canada",M5V 3N2,43.63406665,-79.39839369405539,N/A,Old Toronto
11,Ward's Island,"17 Lakeshore Avenue, Old Toronto, ON M5J 1Z4, Canada",M5J 1Z4,43.63124905,-79.35378060438238,N/A,Old Toronto
12,Chaplin Estates,"Lascelles Boulevard, Old Toronto, ON M5P 1A2, Canada",M5P 1A2,43.69715865,-79.39947020017509,N/A,Old Toronto
13,North York,"Maginn Mews, Toronto, ON M3C 3R6, Canada",M3C 3R6,43.7349036,-79.3456178,N/A,Toronto
14,North York,"Sampson Mews, Toronto, ON M3C 0H5, Canada",M3C 0H5,43.7348029,-79.3441212,N/A,Toronto
15,North York,"Town Square, Toronto, ON M3C 0H9, Canada",M3C 0H9,43.7341861,-79.3456769,N/A,Toronto
16,North York,"1090 Don Mills Road, Toronto, ON M3C 0H5, Canada",M3C 0H5,43.7362814,-79.3440607,N/A,Toronto
17,N/A,"William G. Davis Trail, Old Toronto, ON M6K 3C3, Canada",M6K 3C3,43.63091205,-79.40987025665262,N/A,Old Toronto
18,Port Lands,"Unwin Avenue, Old Toronto, ON M4M 1J8, Canada",M4M 1J8,43.641295549999995,-79.34166165,N/A,Old Toronto
